number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,4,16,OPEN,1711189161000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,4,16,OPEN,1711189161000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,7,13,OPEN,1711210976000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,7,13,OPEN,1711210976000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,7,13,OPEN,1711210976000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,6,14,OPEN,1711211046000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,6,14,OPEN,1711211046000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,6,14,OPEN,1711211046000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711220377000,46.560227,15.650781
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,False,False,20,9,11,OPEN,1711222493000,46.560227,15.650781
