time,interval,temperature_2m,wind_speed_10m,precipitation,dew_point_2m,relative_humidity_2m,apparent_temperature,surface_pressure
2024-03-21T11:45,900,17.5,7.0,0.0,6.0,47,16.2,986.9
2024-03-23T10:15,900,16.0,1.3,0.0,6.7,54,15.0,974.5
2024-03-23T16:15,900,17.0,8.9,0.0,4.9,45,14.4,971.6
2024-03-23T16:15,900,17.0,8.9,0.0,4.9,45,14.4,971.6
2024-03-23T16:15,900,17.0,8.9,0.0,4.9,45,14.4,971.6
2024-03-23T16:15,900,17.0,8.9,0.0,4.9,45,14.4,971.6
2024-03-23T16:15,900,17.0,8.9,0.0,4.9,45,14.4,971.6
2024-03-23T16:15,900,17.0,8.9,0.0,4.9,45,14.4,971.6
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:00,900,6.9,17.3,0.2,3.2,77,2.8,975.4
2024-03-23T19:30,900,6.7,16.6,0.6,2.5,75,2.5,977.3
